part_number,name,description
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
D324000090,NUT AXLE,NUT AXLE
D324000150,TAB WASHER 16 Zn,TAB WASHER 16 Zn | Notice: ADAPTED
D324000080,AXLE FRONT FG,AXLE FRONT FG
N4125-001,DISTANCE TUBE,DISTANCE TUBE | Notice: BERINGER AV-SPOOL-001
N4115-001,TIRE 13x5.00-6,TIRE 13x5.00-6 | Notice: BERINGER PAC03
N4116-001,NOSE WHEEL ASSEMBLY,NOSE WHEEL ASSEMBLY | Notice: BERINGER RA-009(C)
N4125-002,DISTANCE TUBE,DISTANCE TUBE | Notice: BERINGER AV-SPOOL-002
N3315-009,SPLIT PIN 2x32 Zn,SPLIT PIN 2x32 Zn | Notice: DIN94 2x32 St A2K
N3224-002,CASTLE NUT M8 Zn6,CASTLE NUT M8 Zn6 | Notice: LDN3210.25 M8 ZN6
N3250-010,"WASHER 8,4 Zn","WASHER 8,4 Zn | Notice: DIN125A 8,4 200HV A2A"
D90300017A,GROUNDING WIRE FG,GROUNDING WIRE FG
D32400100A,HOLDER,HOLDER
D324000010,METAL PLATE,METAL PLATE
N4118-001,AXLE OF MAIN LANDING GEAR,AXLE OF MAIN LANDING GEAR | Notice: BERINGER FUS-001.3(B)
N4121-001,CALIPER,CALIPER | Notice: BERINGER EA-006E
N4120-001,BRAKE PAD,BRAKE PAD
N3326-005,SEALING RING,SEALING RING | Notice: BERINGER HYD-005B
N3820-009,BANJO BOLT M10x1,BANJO BOLT M10x1 | Notice: BERINGER HYD-003P
N4125-004,WASHER,WASHER | Notice: BERINGER RDL-003(A)
D324000100,BOLT M8x52,BOLT M8x52 | Notice: ADAPTED
D324000120,BOLT M8x57,BOLT M8x57 | Notice: ADAPTED
N3725-005,WIRE 1,WIRE 1 | Notice: BERINGER ZPA02
N4117-001,BRAKE DISC,BRAKE DISC | Notice: BERINGER DSC-006E
N4115-002,TIRE 15x6.00-6,TIRE 15x6.00-6 | Notice: BERINGER PAC02
N4116-002,WHEEL ASSEMBLY,WHEEL ASSEMBLY | Notice: BERINGER RF-004
N4125-003,DISTANCE TUBE,DISTANCE TUBE | Notice: BERINGER BGE-016(A)
N3216-001,"NUT M25x1,5 AL","NUT M25x1,5 AL | Notice: BERINGER ECR-002"
-,-,-
D32400400A,HOSE BRAKE 2 FG,HOSE BRAKE 2 FG
D32400300A,HOSE BRAKE 1 FG,HOSE BRAKE 1 FG
D32400500A,HOSE BRAKE 3 FG,HOSE BRAKE 3 FG
ASN3911-301.0300,HOSE,HOSE | Notice: BERINGER HDA01
N4121-001,CALIPER,CALIPER | Notice: BERINGER EA-006E
N3326-005,SEALING RING,SEALING RING | Notice: BERINGER HYD-005B
N3820-009,BANJO BOLT M10x1,BANJO BOLT M10x1 | Notice: BERINGER HYD-003P
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
N3264-003,"SERRATED WASHER 6,4 Zn","SERRATED WASHER 6,4 Zn | Notice: DIN6798J 6,4 FSt A2K"
N4342-101,"SPRING WIRE CLAMP 7,9","SPRING WIRE CLAMP 7,9 | Notice: BERINGER"
N4124-002,BRAKE FLUID RESERVOIR,BRAKE FLUID RESERVOIR | Notice: BERINGER HFA01
N3135-009,SCREW M5x30 Zn,SCREW M5x30 Zn | Notice: DIN965H M5x30 4.8 A2K
D324000020,LEVER HANDLE,LEVER HANDLE
N3250-005,"WASHER 5,3 Zn","WASHER 5,3 Zn | Notice: DIN125A 5,3 140HV A2A"
N3227-002,NUT M5 Cd,NUT M5 Cd | Notice: LN 9348-05
D324000040,LEVER BRAKE,LEVER BRAKE
D32400200A,CONSOLE OF BRAKE LEVER,CONSOLE OF BRAKE LEVER
N3112-008,BOLT M6x22 Cd,BOLT M6x22 Cd | Notice: LN 9037-06 022
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3315-005,"SPLIT PIN 1,6x25 Zn","SPLIT PIN 1,6x25 Zn | Notice: DIN94 1,6x25 St A2A"
D324000140,"PIN WITH HEAD 6x14x1,6x11","PIN WITH HEAD 6x14x1,6x11"
N3735-001,FORK JOINT 6x12,FORK JOINT 6x12 | Notice: DIN71752G 6x12 A2K
D324000030,THREADED ROD M6x40,THREADED ROD M6x40 | Notice: ADAPTED
N3210-008,HEXAGON NUT M6 Zn,HEXAGON NUT M6 Zn | Notice: DIN934 M6 8 A2K
N4123-001,MASTER CYLINDER,MASTER CYLINDER | Notice: BERINGER MP-002E(A)
N3750-301,ROD END BEARING,ROD END BEARING | Notice: BERINGER ZM-001
D271000010,"WASHER 6,4x10x1,6 200 ada","WASHER 6,4x10x1,6 200 ada"
N3112-009,BOLT M6x25 Cd,BOLT M6x25 Cd | Notice: LN 9037-06 025
N3326-005,SEALING RING,SEALING RING | Notice: BERINGER HYD-005B
-,-,-
N3820-010,DOUBLE BANJO BOLT,DOUBLE BANJO BOLT | Notice: BERINGER HYD-046P
N3830-005,PUSH-ON FITTINGS M10x1,PUSH-ON FITTINGS M10x1 | Notice: BERINGER HYD-011D
N3254-008,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN9021 6,4 100HV A2K"
N3254-004,"WASHER 5,3 Zn","WASHER 5,3 Zn | Notice: DIN9021 5,3 100HV A2K"
D324000060,LIMITER BRACKET 1,LIMITER BRACKET 1
D324000070,LIMITER BRACKET 2,LIMITER BRACKET 2
D324000110,RUBBER 1-18x50,RUBBER 1-18x50
N4122-001,PRESSURE LIMITED 20 BAR,PRESSURE LIMITED 20 BAR | Notice: BERINGER LM-001E(A)
D324000050,CYLINDER BRACKET,CYLINDER BRACKET
D324000130,RESERVOIR HOLDER,RESERVOIR HOLDER
N3142-001,SCREW M6x12,SCREW M6x12 | Notice: BERINGER HFA01
N3228-001,NUT M6,NUT M6 | Notice: BERINGER HFA01
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N3112-011,BOLT M6x28 Cd,BOLT M6x28 Cd | Notice: LN 9037-06 028
D325000010,WASHER 6x10x1 St ada,WASHER 6x10x1 St ada
N3750-001,ROD END BEARING,ROD END BEARING | Notice: FLURO GAXSW6
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
N3253-003,"WASHER 6,4x30x1,5 Zn","WASHER 6,4x30x1,5 Zn | Notice: DIN522C 6,4x30x1,5 A2K"
N4310-002,HOSE CLAMP 16-27x9,HOSE CLAMP 16-27x9 | Notice: DIN3017-1A 16-27x9 W2 B
D32500300A,SLEEVE FLANGE,SLEEVE FLANGE
N3141-001,SCREW 3x10 Zn,SCREW 3x10 Zn | Notice: DIN7996Z 3x10 St A2K
-,-,- | Notice: -
-,-,- | Notice: -
N3210-008,HEXAGON NUT M6 Zn,HEXAGON NUT M6 Zn | Notice: DIN934 M6 8 A2K
N3264-003,"SERRATED WASHER 6,4 Zn","SERRATED WASHER 6,4 Zn | Notice: DIN6798J 6,4 FSt A2K"
D32500200A,PUSH-ROD 2D,PUSH-ROD 2D
D32500100A,PUSH-ROD 1D,PUSH-ROD 1D
N3112-009,BOLT M6x25 Cd,BOLT M6x25 Cd | Notice: LN 9037-06 025
D334001020,SLEEVE,SLEEVE
D334004010,HOLDER,HOLDER
N3110-003,BOLT M4x10 Zn,BOLT M4x10 Zn | Notice: DIN933 M4x10 8.8 A2A
N3140-012,SCREW M3x20 A2,SCREW M3x20 A2 | Notice: DIN7985H M3x20 A2
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
N3262-002,SPRING WASHER 4 Zn,SPRING WASHER 4 Zn | Notice: DIN127B 4 FSt A2A
N3343-002,RIVET 3x8,RIVET 3x8 | Notice: DIN661 3x8 AlMgSi
N2948-008,CONNECTOR MR16B,CONNECTOR MR16B | Notice: BRILUM 2362
N2927-002,T TERMINAL COVER,"T TERMINAL COVER | Notice: MALE 6,3mm LOCK"
N6130-001,LANDING LIGHT,"LANDING LIGHT | Notice: MR16,140,12V,270lm,6000K"
N6131-005,LED LIGHT 3IN1 L,LED LIGHT 3IN1 L | Notice: AVEO AVE-WPSTR-20D
N6131-006,LED LIGHT 3IN1 P,LED LIGHT 3IN1 P | Notice: AVEO AVE-WPSTG-20D
N7112-101,"EXPANSION TANK 0,45 l","EXPANSION TANK 0,45 l | Notice: WINTER"
N2430-001,PUR FOAM 50,PUR FOAM 50 | Notice: MOLITAN CME-35 35
N4342-001,"SPRING WIRE CLAMP 7,3","SPRING WIRE CLAMP 7,3 | Notice: TUBES INT.AB-02016012"
N4342-002,"SPRING WIRE CLAMP 7,8","SPRING WIRE CLAMP 7,8 | Notice: TUBES INT.AB-02016020"
N3830-001,PUSH-ON CONNECTOR I 5,PUSH-ON CONNECTOR I 5 | Notice: NORMAPLAST GS5
N3831-002,PUSH-ON CONNECTOR T 5,PUSH-ON CONNECTOR T 5 | Notice: NORMAPLAST TS5
N4631-003,FUEL FILTER FINE,FUEL FILTER FINE | Notice: MFILTER BF01
ASN3913-301.2700,"AIR HOSE 5x1,5-2700","AIR HOSE 5x1,5-2700 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.1120,"AIR HOSE 5x1,5-1120","AIR HOSE 5x1,5-1120 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0400,"AIR HOSE 5x1,5-400","AIR HOSE 5x1,5-400 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0280,"AIR HOSE 5x1,5-280","AIR HOSE 5x1,5-280 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0060,"AIR HOSE 5x1,5-60","AIR HOSE 5x1,5-60 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0250,"AIR HOSE 5x1,5-250","AIR HOSE 5x1,5-250 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0800,"AIR HOSE 5x1,5-800","AIR HOSE 5x1,5-800 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0150,"AIR HOSE 5x1,5-150","AIR HOSE 5x1,5-150 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.2300,"AIR HOSE 5x1,5-2300","AIR HOSE 5x1,5-2300 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.1160,"AIR HOSE 5x1,5-1160","AIR HOSE 5x1,5-1160 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0470,"AIR HOSE 5x1,5-470","AIR HOSE 5x1,5-470 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-401.0400,AIR HOSE A-30,AIR HOSE A-30 | Notice: ACK A30.06.04
N3832-002,PUSH-ON CONNECTOR X 5,PUSH-ON CONNECTOR X 5 | Notice: NORMAPLAST KS5
ASN3913-301.1200,"AIR HOSE 5x1,5-1200","AIR HOSE 5x1,5-1200 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0450,"AIR HOSE 5x1,5-450","AIR HOSE 5x1,5-450 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0620,"AIR HOSE 5x1,5-620","AIR HOSE 5x1,5-620 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.0410,"AIR HOSE 5x1,5-410","AIR HOSE 5x1,5-410 | Notice: PVC NOVOPLAST 1129 1184"
ASN3913-301.1030,"AIR HOSE 5x1,5-1030","AIR HOSE 5x1,5-1030 | Notice: PVC NOVOPLAST 1129 1184"
N3130-001,BOLT M4x12,BOLT M4x12 | Notice: NFE25-129 M4x12 A2
D34100100A,PITOT-STATOC PROBE,PITOT-STATOC PROBE
N3130-005,BOLT M4x6,BOLT M4x6 | Notice: NFE25-129 M4x6 A2
N7325-002,ALTITUDE ENCODER ACK A30,ALTITUDE ENCODER ACK A30 | Notice: RANGE MODS 5
N7325-002,ALTITUDE ENCODER ACK A30 HOLDER,ALTITUDE ENCODER ACK A30 HOLDER | Notice: SUBPART OF POS. 2
N7325-001,ADAHRS MODULE,ADAHRS MODULE | Notice: DYNON SV-ADAHRS-200
N3830-002,PUSH-ON FITTINGS,PUSH-ON FITTINGS | Notice: NORMAPLAST GES6/R1/8
N3140-005,SCREW M4x16,SCREW M4x16 | Notice: DIN7985H M4x16 4.8 BLP
N3251-002,"WASHER 4,3","WASHER 4,3 | Notice: DIN433 4,3 CU2"
N3262-002,SPRING WASHER 4 Zn,SPRING WASHER 4 Zn | Notice: DIN127B 4 FSt A2A
N3211-001,HEXAGON NUT M4 Zn,HEXAGON NUT M4 Zn | Notice: DIN439B M4 04 A2K
N7410-001,TEMPERATURE SENSOR,TEMPERATURE SENSOR | Notice: DYNON SV-OAT-340
N3520-002,BUSHING 11,BUSHING 11 | Notice: BACH PV-8
D344001010,PLATE,PLATE | Notice: TRX-1500
N7330-001,ANTI-COLLISION SYS. PCAS,ANTI-COLLISION SYS. PCAS | Notice: GARRECHT TRX-1500
N7355-001,ANTENNA ADS-B,ANTENNA ADS-B | Notice: GARRECHT TRX-1500
N7355-002,ANTENNA FLARM,ANTENNA FLARM | Notice: GARRECHT TRX-1500
N3230-002,RIVNUT M4 Zn,RIVNUT M4 Zn | Notice: ARCUS 39057-4030
N3140-011,SCREW M4x12 Zn,SCREW M4x12 Zn | Notice: DIN7985H M4x12 4.8 A2K
N3130-001,BOLT M4x12,BOLT M4x12 | Notice: NFE25-129 M4x12 A2
N3262-002,SPRING WASHER 4 Zn,SPRING WASHER 4 Zn | Notice: DIN127B 4 FSt A2A
N3250-004,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN125A 4,3 140HV A2A"
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
N3212-002,SPACER BOLT M4-30,SPACER BOLT M4-30 | Notice: FABORY 11396040030
N3145-004,SET SCREW M4x20,SET SCREW M4x20 | Notice: DIN913 M4x20 45H 002
D345002010,REFLECTIVE SURFACE,REFLECTIVE SURFACE | Notice: ANTENNA XPDR
N3227-001,NUT M4 Cd,NUT M4 Cd | Notice: LN9348-04
N3250-004,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN125A 4,3 140HV A2A"
N7351-001,ANTENNA VOR,ANTENNA VOR | Notice: COBHAM COMANT CI-158C
N7351-001,ACTIVE PART OF ANTENNA,ACTIVE PART OF ANTENNA | Notice: SUBPART OF POS. 4
N7352-001,ANTENNA XPDR,ANTENNA XPDR | Notice: RAMI AV-22
N7352-001,NUT,NUT | Notice: SUBPART OF POS.6
N7352-001,SERRATED LOCK WASHER,SERRATED LOCK WASHER | Notice: SUBPART OF POS.6
N4331-351,"ALUMINUM TAPE 50,8","ALUMINUM TAPE 50,8 | Notice: 3M 3311 45 m; L=600 mm"
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
D345203010,GPS ANTENNA HOLDER RH,GPS ANTENNA HOLDER RH
D345103010,GPS ANTENNA HOLDER LH,GPS ANTENNA HOLDER LH
N7354-002,ANTENNA SV-GPS-250,ANTENNA SV-GPS-250 | Notice: DYNON 101242-000
N7354-001,ANTENNA TRX GPS,ANTENNA TRX GPS | Notice: GARRECHT TRX-1500
N3230-002,RIVNUT M4 Zn,RIVNUT M4 Zn | Notice: ARCUS 39057-4030
N3135-003,SCREW M4x12 Zn,SCREW M4x12 Zn | Notice: DIN965H M4x12 4.8 A2K
N3135-008,SCREW M4x25,SCREW M4x25 | Notice: DIN965H M4x25 A2
N3227-001,NUT M4 Cd,NUT M4 Cd | Notice: LN9348-04
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
D39300300A,AUDIOSIGNAL TERMINAL,AUDIOSIGNAL TERMINAL
D39300400A,CONTROL LAMPS TERMINAL,CONTROL LAMPS TERMINAL
N2950-113,HEAT-SHRINKABLE TUBING,"HEAT-SHRINKABLE TUBING | Notice: POS 19,0-9,5 BLACK"
D53102700A,EPS COVER,EPS COVER
D53102800A,INSTALLATION COVER,INSTALLATION COVER
D53112900A,FLOAT SENSOR COVER LH,FLOAT SENSOR COVER LH
D53122900A,FLOAT SENSOR COVER RH,FLOAT SENSOR COVER RH
D53103000A,LUGGAGE BULKHEAD COVER,LUGGAGE BULKHEAD COVER
D53103100A,REAR TUNNEL COVER LSA,REAR TUNNEL COVER LSA
D531000420,SIDEWALL COVER,SIDEWALL COVER
D531000430,SIDEWALL COVER CIRCLE,SIDEWALL COVER CIRCLE
D531000440,MAIN SPAR COVER,MAIN SPAR COVER
D531100450,FUEL FILTER COVER LH,FUEL FILTER COVER LH
D531200450,FUEL FILTER COVER RH,FUEL FILTER COVER RH
D531000470,ANTISKID STRIPE,ANTISKID STRIPE
N3130-001,BOLT M4x12,BOLT M4x12 | Notice: NFE25-129 M4x12 A2
N3130-004,BOLT M5x16,BOLT M5x16 | Notice: NFE25-129 M5x16 A3
N3254-005,"WASHER 5,3","WASHER 5,3 | Notice: DIN9021KST 5,3 PA6.7"
D53104800A,CLOSING MECHANISM CASE,CLOSING MECHANISM CASE
N3341-009,RIVET 4x16,RIVET 4x16 | Notice: DIN7337B 4x16 AL/ST A1P
D55100200A,ELEVATOR ROOT HINGE,ELEVATOR ROOT HINGE
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
D55210100B,ELEVATOR LSA LH,ELEVATOR LSA LH
D55220100B,ELEVATOR LSA RH,ELEVATOR LSA RH
D55200300A,ROOT LEVER,ROOT LEVER
D271000010,"WASHER 6,4x10x1,6 200 ada","WASHER 6,4x10x1,6 200 ada"
N3112-009,BOLT M6x25 Cd,BOLT M6x25 Cd | Notice: LN 9037-06 025
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
N3226-002,NUT M6 Zn,NUT M6 Zn | Notice: SCHEMPP-HIRTH L01-0638
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N4331-702,PTFE TAPE 30,PTFE TAPE 30 | Notice: PTFE 30 -33m
N4332-002,DOUBLE SIDED TAPE 12,DOUBLE SIDED TAPE 12 | Notice: TESA 4965 50 m
ASN4330-003.1010,SEALING TAPE MYLAR 30,SEALING TAPE MYLAR 30 | Notice: PROFILBAND WEISS PET 30
N4331-005,WHITE TAPE 12,WHITE TAPE 12 | Notice: TESA 4104 66 m
D55400100B,RUDDER LSA,RUDDER LSA
N3224-001,CASTLE NUT M6 Zn4,CASTLE NUT M6 Zn4 | Notice: LDN3210.25 M6 ZN4
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N3315-004,"SPLIT PIN 1,6x16 Zn","SPLIT PIN 1,6x16 Zn | Notice: DIN94 1,6x16 St A2K"
N4332-002,DOUBLE SIDED TAPE 12,DOUBLE SIDED TAPE 12 | Notice: TESA 4965 50 m
ASN4330-005.0870,SEALING TAPE MYLAR 43,SEALING TAPE MYLAR 43 | Notice: PROFILBAND WEISS PET 43
N4331-005,WHITE TAPE 12,WHITE TAPE 12 | Notice: TESA 4104 66 m
N4331-703,PTFE TAPE 38,PTFE TAPE 38 | Notice: PTFE 38 -33m
D554000130,BLINDER 25 mm,BLINDER 25 mm
D57210100A,LEFT WING LSA,LEFT WING LSA
D57220100A,RIGHT WING LSA,RIGHT WING LSA
D57200300A,OUTER MAIN PIN FG,OUTER MAIN PIN FG
D57200200A,MAIN PIN,MAIN PIN
D57200400A,AUXILIARY PIN,AUXILIARY PIN
D572001050,BUSHING 18x26-28x1,BUSHING 18x26-28x1
D57201700A,"GUIDE BEARINGS d25,2","GUIDE BEARINGS d25,2"
D90300018A,GROUND WIRE,GROUND WIRE
D90300019A,GROUND WIRE,GROUND WIRE
ASN3335-001,INDUSTRIAL SAFETY PINS,"INDUSTRIAL SAFETY PINS | Notice: 1,3x23"
N3340-017,RIVET 4x14,RIVET 4x14 | Notice: DIN7337A 4x14 AL/ST A1P
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
D574000040,STALL STRIP 400 mm,STALL STRIP 400 mm
D574000050,STALL STRIP 200 mm,STALL STRIP 200 mm
D57510200B,WING FLAP LSA LH,WING FLAP LSA LH
D57520200B,WING FLAP LSA RH,WING FLAP LSA RH
D57500300A,"LEVER, WING FLAP","LEVER, WING FLAP"
D575000020,BOLT M6x22,BOLT M6x22 | Notice: ADAPTED
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3224-001,CASTLE NUT M6 Zn4,CASTLE NUT M6 Zn4 | Notice: LDN3210.25 M6 ZN4
N3315-005,"SPLIT PIN 1,6x25 Zn","SPLIT PIN 1,6x25 Zn | Notice: DIN94 1,6x25 St A2A"
N3264-003,"SERRATED WASHER 6,4 Zn","SERRATED WASHER 6,4 Zn | Notice: DIN6798J 6,4 FSt A2K"
N3111-026,BOLT M6x35 Zn,BOLT M6x35 Zn | Notice: DIN931 M6x35 8.8 A2K
D57620500C,AILERON LSA RH,AILERON LSA RH
D57620600C,AILERON TRIM TAB,AILERON TRIM TAB
D576201180,ACTUATOR COVER,ACTUATOR COVER
D57600900A,AILERON SERVO,AILERON SERVO
D576001100,TRIM PUSH-PULL ROD,TRIM PUSH-PULL ROD
D576201160,HINGE PIN,HINGE PIN
N3110-002,BOLT M3x12 Zn,BOLT M3x12 Zn | Notice: DIN933 M3x12 8.8 A2K
N3222-001,HEXAGON NUT M3 Zn,HEXAGON NUT M3 Zn | Notice: DIN985 M3 8 A2K
N3250-002,"WASHER 3,2 Zn","WASHER 3,2 Zn | Notice: DIN125A 3,2 140HV A2A"
N3725-004,"IRON WIRE 0,8","IRON WIRE 0,8 | Notice: DIN177 0,8 1.0035 ZN"
D57610100C,AILERON LSA LH,AILERON LSA LH
D576000010,PIN WITH HEAD 6x30,PIN WITH HEAD 6x30
N3113-008,BOLT M6x37 Zn4,BOLT M6x37 Zn4 | Notice: ONL3120.15 M6x37 L-ROL.7
N3224-001,CASTLE NUT M6 Zn4,CASTLE NUT M6 Zn4 | Notice: LDN3210.25 M6 ZN4
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N3310-002,SPRING PIN 2x12,SPRING PIN 2x12 | Notice: DIN1481 2x12 FSt 002
N3315-005,"SPLIT PIN 1,6x25 Zn","SPLIT PIN 1,6x25 Zn | Notice: DIN94 1,6x25 St A2A"
N4331-702,PTFE TAPE 30,PTFE TAPE 30 | Notice: PTFE 30 -33m
N4332-002,DOUBLE SIDED TAPE 12,DOUBLE SIDED TAPE 12 | Notice: TESA 4965 50 m
N4330-003,SEALING TAPE MYLAR 30,SEALING TAPE MYLAR 30 | Notice: PROFILBAND WEISS PET 30
